Model,Scenario,Category,F1,MCC,FNR,FPR,F1_drop
XGBoost,Gaussian noise x2,Noise level,0.5608549839124072,0.31396061708672357,0.514527503526093,0.19037199124726478,0.43702786718145314
LightGBM,Gaussian noise x2,Noise level,0.49376192227372384,0.2739324143095141,0.6084626234132582,0.15054704595185997,0.5027144695515052
CatBoost,Gaussian noise x2,Noise level,0.5463261962023477,0.2858444792512795,0.5241184767277856,0.2061269146608315,0.45155665489151264
KNN,Gaussian noise x2,Noise level,0.5671954555095369,0.34540067720315104,0.5229901269393512,0.1586433260393873,0.4278575480240321
GaussianNB,Gaussian noise x2,Noise level,0.44488112478136754,0.21122851725223338,0.653314527503526,0.1638949671772429,0.27552189788865766
SVM,Gaussian noise x2,Noise level,0.5899009906675549,0.32875714140412327,0.46346967559943575,0.21903719912472647,0.4003087995422353
MLP,Gaussian noise x2,Noise level,0.616781101254497,0.33451341906734183,0.4,0.26805251641137856,0.3768494719939106
Logistic Regression,Gaussian noise x3,Noise level,0.5735200512481662,0.19765060617558627,0.37940761636107195,0.4214442013129103,0.3273565502353133
Ridge Classifier,Gaussian noise x3,Noise level,0.5537996944824867,0.2036001400331874,0.44231311706629056,0.35382932166301967,0.2657640860859205
SGD Classifier,Gaussian noise x3,Noise level,0.5749253979237275,0.2002024783228223,0.3777150916784203,0.4205689277899343,0.3264259534276238
Decision Tree,Gaussian noise x3,Noise level,0.4352500824615125,0.24341519154361113,0.6778561354019746,0.1223194748358862,0.5619290430674015
Random Forest,Gaussian noise x3,Noise level,0.4942995390513977,0.24318742619188582,0.5926657263751763,0.1864332603938731,0.5021668920440087
Extra Trees,Gaussian noise x3,Noise level,0.5265527172955137,0.29068226035965405,0.5636107193229901,0.17133479212253827,0.47133013379834665
AdaBoost,Gaussian noise x3,Noise level,0.3315857740078837,0.17783592964984557,0.7768688293370946,0.09474835886214442,0.6592528447377118
